,index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
3994,4220,TODO: use waiter class?,Yes,No,y
3995,4221,TODO: this method can't permit each batch has the same length,Yes,Yes,y
3996,4222,Convert shape from [num examples; rows; columns; depth],No,Yes,y
3997,4223,to [num examples; rows*columns] (assuming depth == 1),No,Yes,y
3998,4224,TODO: this method can't permit each batch has the same length,Yes,Yes,y
3999,4225,implement short circuit here,Yes,No,y
4000,4226,implement short circuit here,Yes,No,y
4001,4227,xxx need to be some specific buffer here,Yes,Yes,y
4002,4228,xxx need to be some specific buffer here,Yes,Yes,y
4003,4229,Label 0 is reserved for an (unused) background class.,No,No,n
4004,4230,Save after the training ends.,No,No,y
4005,4231,activations such that no rescaling is needed at evaluation time.,No,No,n
4006,4232,Convert shape from [num examples; rows; columns; depth],No,Yes,y
4007,4233,to [num examples; rows*columns] (assuming depth == 1),No,Yes,y
4008,4234,TODO: EBS optimized? (Will incur extra hourly cost),Yes,Yes,y
4009,4235,TODO: use waiter class?,Yes,No,y
4010,4236,TODO: add limited pickling support for sharing an iterator,Yes,Yes,y
4011,4237,Probably the best way to do this is by moving the sample pushing,No,Yes,y
4012,4238,TODO(hwang): try to figure out what's happening right here and fix this issue,Yes,Yes,y
4013,4239,Convert shape from [num examples; rows; columns; depth],No,Yes,y
4014,4240,to [num examples; rows*columns] (assuming depth == 1),No,Yes,y
4015,4241,Convert shape from [num examples; rows; columns; depth],No,Yes,y
4016,4242,to [num examples; rows*columns] (assuming depth == 1),No,Yes,y
4017,4243,TODO(hwang): this is not a stable solution; try to figure out a better one,Yes,Yes,y
4018,4244,TODO(hwang): this is not a stable solution; try to figure out a better one,Yes,Yes,y
4019,4245,TODO(hwang): this is not a stable solution; try to figure out a better one,Yes,Yes,y
4020,4246,'''ResNet in PyTorch. || For Pre-activation ResNet; see 'preact_resnet.py'. || Reference: || [1] Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun ||     Deep Residual Learning for Image Recognition. arXiv:1512.03385 ||  ||  || Please Note that; this version is a hack; it's super hacky and quite hacky never call this one for normal use || ''',Yes,Yes,n
4021,4247,TODO(hwang): figure out if this part also need hack,Yes,Yes,y
4022,4248,we changed another equivalent way to implement this,No,Yes,y
4023,4249,we changed another equivalent way to implement this,No,Yes,y
4024,4250,we changed another equivalent way to implement this,No,Yes,y
4025,4251,implement master timeout strategy,Yes,No,y
4026,4252,if a stale gradient come; we through it away directly,No,No,n
4027,4253,TODO: VGG-16,Yes,No,y
4028,4254,TODO: decide depth loss,Yes,Yes,y
4029,4255,# TODO depth loss2,Yes,No,y
4030,4256,TODO: visualization,Yes,No,y
4031,4257,TODO: decide depth loss,Yes,Yes,y
4032,4258,TODO,Yes,Yes,n
4033,4260,We could use better psychological models here...,Yes,Yes,y
4034,4261,is an inconsistent state (which we could improve this to check for)).,Yes,No,y
4035,4262,Outer double quotes needed or else colon characters don't parse,Yes,No,y
4036,4264,"\""\""\""Does google-lint on c++ files. ||  || The goal of this script is to identify places in the code that *may* || be in non-compliance with google style.  It does not attempt to fix || up these problems -- the point is to educate.  It does also not || attempt to find all problems; or to ensure that everything it does || find is legitimately a problem. ||  || In particular; we can get very confused by \/* and \/\/ inside strings! || We do a small hack; which is to ignore \/\/'s with \""'s after them on the || same line; but it is far from perfect (in either direction). || \""\""\""",No,Yes,n
4037,4265,"FIXME(adonovan): \""NOLINT(\"" is misparsed as NOLINT(*).",Yes,Yes,y
4038,4266,needs to move backwards; CheckNextIncludeOrder will raise an error.,Yes,Yes,y
4039,4267,In what way are we counting errors?,No,Yes,y
4040,4268,statements better.,No,Yes,y
4041,4269,To verify that the file ends in \ || ; we just have to make sure the,No,No,n
4042,4270,Found DISALLOW* macro outside a class declaration; or perhaps it,No,No,n
4043,4271,though; so we punt on this one for now.  TODO.,Yes,Yes,y
4044,4272,There shouldn't be space around unary operators,Yes,Yes,y
4045,4273,You shouldn't have spaces before your brackets; except maybe after,No,Yes,y
4046,4274,private; but needed to be public for implementation reasons.,Yes,No,y
4047,4275,Also ignores cases where the previous line ends with a backslash as can be,No,No,n
4048,4276,We implement a whitelist of safe macros instead of a blacklist of,No,Yes,y
4049,4277,Logical and\/or operators.  This means the expression,No,Yes,y
4050,4278,is more efficient when the operands are longer than a single,No,Yes,y
4051,4279,it provides a way to workaround this warning for people who use,No,No,n
4052,4280,A call-by-reference parameter ends with '& identifier'.,No,Yes,y
4053,4281,A call-by-const-reference parameter either ends with 'const& identifier',No,Yes,y
4054,4282,convention of the whole function to process multiple line to handle it.,Yes,Yes,y
4055,4283,Function(int \/*unused_param*\/);,No,Yes,y
4056,4284,"Support the UNIX convention of using \""-\"" for stdin.  Note that",No,No,n
4057,4285,A tiny hack: the dirname validator also returns readme YAML frontmatter.,Yes,No,y
4058,4286,columns as the first row; append it to the list,No,Yes,y
4059,4287,we ignore the exception (maybe the image is corrupted?),Yes,Yes,y
4060,4289,TODO this might be buggy,Yes,Yes,y
4061,4290,TODO general definitions,Yes,Yes,y
4062,4291,no implement for pointer mechanism,Yes,Yes,y
4063,4292,TODO: fixed https:\/\/github.com\/ne7ermore\/deeping-flow\/issues\/1,Yes,Yes,y
4064,4293,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
4065,4294,The convention in BERT is:,No,No,n
4066,4295,TODO: Make a version of this that only passes a sliding window (as of now it passes everything).,Yes,Yes,y
4067,4296,TODO: Remember to include both vocab and stopless vocab spaces,Yes,Yes,y
4068,4297,TODO: Compute word frequencies in the stopless vocab space.,Yes,Yes,y
4069,4298,TODO: Break up the text into a series of BPTT chunks.,Yes,Yes,y
4070,4299,TODO: Sanity checks.,Yes,No,y
4071,4300,TODO: Confirm that padding and OOV tokens are always indexed at 0 and 1.,Yes,No,y
4072,4301,TODO: Should this be extended to support arbitrary L?,Yes,Yes,y
4073,4302,TODO: Make this faster.,Yes,Yes,y
4074,4303,TODO: What makes sense for a decode for TopicRNN?,Yes,No,y
4075,4304,TODO: How should these be initialized?,Yes,No,y
4076,4305,TODO: Categorical Accuracy for classification.,Yes,No,y
4077,4306,TODO: Experiment sentiment prediction with unfrozen weights.,Yes,No,y
4078,4309,To avoid manually dealing with padding; instantiate a Seq2Vec instead.,Yes,Yes,y
4079,4310,TODO: Typo,Yes,Yes,n
4080,4311,TODO: Don't use the whole document?,Yes,Yes,y
4081,4312,lr_scheduler cannot affect final_lr; this is a workaround to apply lr decay,Yes,No,y
4082,4313,patches = tf.extract_image_patches( # fix rows_in is None,Yes,Yes,y
4083,4314,Reshape data into 3D array (columns; rows; bands),No,Yes,y
4084,4315,manually select one or several free gpu,No,Yes,y
4085,4316,these won't be needed to generate new sentences; so just use random numbers,No,Yes,y
4086,4317,track the data elements needed for the dataset,No,No,y
4087,4318,TODO: adapt path,Yes,No,y
4088,4319,todo,Yes,No,y
4089,4320,ToDo error for patchSizeZ = 5. To different Array sizes (40;40;4) and (40;40;5). Padding problem with uneven z-patch sizes????,Yes,No,y
4090,4321,todo,Yes,No,y
4091,4322,parse config file (according to set database) => TODO (TK): replace by automatic parsing in directory,Yes,Yes,y
4092,4323,move state is locked in on a button press,No,No,n
4093,4324,TODO symbol,Yes,No,y
4094,4325,todo: sum over the dimensions of x which are not present in s!,Yes,Yes,y
4095,4326,TODO: adapt path,Yes,No,y
4096,4327,Needed if we want to do something like:,No,Yes,y
4097,4328,parse config file (according to set database) => TODO (TK): replace by automatic parsing in directory,Yes,Yes,y
4098,4329,TODO: may require to adapt patching and data augmentation from GUI\/PyQt\/DLart\/dlart.py,Yes,Yes,y
4099,4330,TODO: add a check for old version,Yes,No,y
4100,4331,todo,Yes,No,y
4101,4332,ToDo error for patchSizeZ = 5. To different Array sizes (40;40;4) and (40;40;5). Padding problem with uneven z-patch sizes????,Yes,No,y
4102,4333,'STORE_DISABLED'; 'STORE_HDF5'; 'STORE_PATCH_BASED'; 'STORE_TFRecord' (TODO),Yes,Yes,y
4103,4334,TODO parsing!,Yes,Yes,y
4104,4335,TODO: case switch here for the different networks,Yes,Yes,y
4105,4336,TODO,Yes,Yes,n
4106,4337,TODO: add here reading in of phase images,Yes,Yes,y
4107,4338,reading in of phase images not really needed at this place; because this data is only required for displaying purposes,Yes,Yes,y
4108,4339,TODO: add here data augmentation via ImageDataGenerator from utils\/image_preprocessing + change to fit_generator,Yes,Yes,y
4109,4340,Needed if we want to do something like:,No,Yes,y
4110,4341,TODO,Yes,Yes,n
4111,4342,TODO: hard-coded; read from size of tensor,Yes,Yes,y
4112,4343,TODO: add here data augmentation via ImageDataGenerator from utils\/image_preprocessing + change to fit_generator,Yes,Yes,y
4113,4344,TODO: add here reading in of phase images,Yes,Yes,y
4114,4345,TODO: patch-based labels not supported yet -> needs to be incorporated into dynamic loading in generator function,Yes,No,y
4115,4346,TODO: 2D patching not supported yet,Yes,Yes,y
4116,4347,ToDo odd patch size not supported!,Yes,No,y
4117,4348,TODO: hard-coded at the moment for generator processing,Yes,Yes,y
4118,4349,TODO: hard-coded class number 2 -> should be automatically retrieved by once parsing over all data,Yes,Yes,y
4119,4350,Random length batch hack.,Yes,Yes,y
4120,4351,Random length batch hack.,Yes,Yes,y
4121,4352,Random length batch hack.,Yes,Yes,y
4122,4353,Random length batch hack.,Yes,Yes,y
4123,4355,will take significantly longer time. but possibly better results,Yes,No,y
4124,4356,todo: return a hashtag matrix indicating the presence of particular hashtags in tweets. input is the list of all tweets,Yes,Yes,y
4125,4357,todo: this should encode 'we vs them' patterns in tweets but this is the most complicated..,Yes,Yes,y
4126,4358,todo:,Yes,No,y
4127,4360,todo: save result,Yes,No,y
4128,4361,will take significantly longer time. but possibly better results,Yes,No,y
4129,4362,will take significantly longer time. but possibly better results,Yes,No,y
4130,4363,stop_words=nlp.stopwords;  # We do better when we keep stopwords,No,Yes,y
4131,4364,We do better when we keep stopwords,No,No,n
4132,4365,We do better when we keep stopwords,No,No,n
4133,4366,fix random seed for reproducibility,No,No,y
4134,4367,workaround for functional api;,Yes,Yes,y
4135,4368,fix random seed for reproducibility,No,No,y
4136,4369,We do better when we keep stopwords,No,No,n
4137,4370,We do better when we keep stopwords,No,No,n
4138,4371,TODO: add optional input data file (mixed data),Yes,Yes,y
4139,4372,ref_annotation.sort_values(ref_annotation.columns[0]),No,No,n
4140,4373,fix HTML tokens,No,Yes,y
4141,4374,fix HTML tokens,Yes,Yes,y
4142,4375,assert beam_size <= self.vocab_size + 1; 'lets assume this for now; otherwise this corner case causes a few headaches down the road. can be dealt with in future if needed',Yes,Yes,y
4143,4376,TODO: What if user specifies vernacular AND actual date time. Let,Yes,Yes,y
4144,4377,"TODO: \""monday next week\""",Yes,Yes,y
4145,4378,"TODO: \""monday next week\""",Yes,Yes,y
4146,4379,TODO: fails on July 3-5; 2018,Yes,Yes,y
4147,4380,TODO: yuck! return a range,Yes,No,y
4148,4381,TODO: convert to new token-based system,Yes,Yes,y
4149,4382,TODO: bad idea?,Yes,No,y
4150,4383,TODO: handle Nones,Yes,Yes,y
4151,4384,TODO: need generic way to impute both ways - simply first two cases,Yes,Yes,y
4152,4385,TODO: too explicit; need a generic way to combine; esp. for longer lists,Yes,No,y
4153,4386,TODO: simplify method,Yes,No,y
4154,4387,TODO: is this the cleanest way to do this?,Yes,No,y
4155,4388,TODO: simplify method,Yes,No,y
4156,4389,TODO: default Nones?,Yes,No,y
4157,4390,TODO: handles Nones,Yes,Yes,y
4158,4391,TODO: add conversions for thirty; fourty-five,Yes,Yes,y
4159,4392,TODO: maybe set default for seven o'clock to 7 pm not am?,Yes,No,y
4160,4393,TODO: what if user says 'this weekend' and it is currently the weekend?,Yes,Yes,y
4161,4394,TODO: add support for 'next weekday' (not daterange; conditioinal lookahead),Yes,Yes,y
4162,4395,TODO consider using Iterator,Yes,Yes,y
4163,4396,Fix TF random seed,No,Yes,y
4164,4397,self.train_count = theano.function([idxs; Y_counts; dropout_switch]; L_count; updates=updates_count; allow_input_downcast=True; on_unused_input='ignore'),No,Yes,y
4165,4398,lr_t = as_floatX(lr) * (T.sqrt(fix2) \/ fix1),No,No,n
4166,4399,TODO: Can we use this information to generate more accurate segmentation maps or bboxes?,Yes,Yes,y
4167,4400,deep copy causes issues with the latest graph (apparently it contains an RLock,Yes,No,y
4168,4401,passing this by reference seems to work; but more investigation is needed.,Yes,Yes,y
4169,4403,TODO: Can we use this information to generate more accurate segmentation maps or bboxes?,Yes,Yes,y
4170,4404,No reverse for collapse indices is needed,No,Yes,y
4171,4405,Should add a small epsilon as the workaround,Yes,No,y
4172,4406,# 12\/2018: problem in minoas; probably related with openmpi.,Yes,No,y
4173,4407,# 12\/2018: problem in minoas; probably related with openmpi.,Yes,No,y
4174,4408,TODO: cuda kernel implementation,Yes,No,y
4175,4409,# define the maximum rows and columns to support.,No,No,n
4176,4410,TODO,Yes,Yes,n
4177,4411,columns = ['title'; 'fields'; 'text'],No,Yes,y
4178,4412,TODO: prepro encode; decode; target; sequence,Yes,Yes,y
4179,4413,TODO: tricky,Yes,No,y
4180,4418,TODO change filename of kg_vector,Yes,Yes,y
4181,4419,TODO: tricky,Yes,No,y
4182,4420,TODO: visualise distribution of confidence predicted,Yes,Yes,y
4183,4421,TODO change filename of kg_vector,Yes,Yes,y
4184,4422,TODO: visualise distribution of confidence predicted,Yes,Yes,y
4185,4423,TODO: place to change inputs,Yes,Yes,y
4186,4427,TODO by Peter: how to get these rejector files,Yes,Yes,y
4187,4428,TODO by Peter: how to get augmented data,Yes,Yes,y
4188,4429,TODO by Peter; how to get KG_Vector files,Yes,Yes,y
4189,4430,TODO by Peter; how to get augmented data,Yes,Yes,y
4190,4431,TODO by Peter; how to get kg vectors,Yes,Yes,y
4191,4432,''' || restored a model and run it || @author: Kemeng Chen || ''',No,Yes,y
4192,4433,''' || restored a model and run session || @author: Kemeng Chen || ''',No,Yes,y
4193,4434,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
4194,4435,The convention in BERT is:,No,No,n
4195,4436,Remove quotes around potential candidate terms,No,Yes,y
4196,4437,re-create score_lookup with only the opponent's move acquired above,No,Yes,y
4197,4438,move is a damaging move,No,No,n
4198,4439,move is a status move,No,Yes,y
4199,4440,this logic is technically wrong; but it at least allows the move to hit,Yes,Yes,y
4200,4441,given 3 moves to look ahead; the safest move should be to sack Eevee; switch Blastoise back in;,No,Yes,y
4201,4442,assert that levitate causes return to be the better move,No,No,n
4202,4443,technically wrong - a move missing would allow focuspunch to hit; however that information is not present here,Yes,Yes,y
4203,4444,".endswith(\""mega|primal\"") is a hack but w\/e sue me",Yes,No,y
4204,4445,move this item to the front of the list to prune faster,Yes,Yes,y
4205,4446,would normally do 48 damage as a normal type move,No,Yes,y
4206,4447,move this item to the front of the list to prune faster,No,Yes,y
4207,4448,guaranteed boosts from a damaging move (none in the moves JSON but items\/abilities can cause this),No,No,n
4208,4449,if the active pokemon has a choice item and their last used move was by this pokemon -> lock their other moves,No,Yes,y
4209,4450,re-create score_lookup with only the opponent's move acquired above,No,Yes,y
4210,4451,update the attacking move based on certain special-effects:,No,No,n
4211,4452,double-hit move,No,Yes,y
4212,4453,if this pokemon used a damaging move; eliminate the possibility of it having a lifeorb,No,No,n
4213,4454,if a damaging move is used; we no longer want to guess lifeorb as an item,No,Yes,y
4214,4455,gen8 (probably),No,No,n
4215,4456,suckperpunch completed successfully because the bot used an attacking move,No,Yes,y
4216,4457,this can happen if a move with equal priority to a phasing move (generally -6) is used by a slower pokemon and the faster pokemon uses a phasing move,No,No,n
4217,4458,x3 for multihit; x1.5 for crit; Yes this is a hack just like the others,Yes,Yes,y
4218,4459,if the opponent uses a boosting status move; they cannot have a choice item,No,Yes,y
4219,4460,".endswith(\""mega|primal\"") is a hack but w\/e sue me",Yes,No,y
4220,4461,TODO: Fix this shit. The stat change instruction changes the actual stats; not the basestats,Yes,Yes,y
4221,4462,contact move that can miss (90% accurate),No,No,n
4222,4463,the move missed,No,Yes,y
4223,4464,technically wrong - a move missing would allow focuspunch to hit; however that information is not present here,Yes,Yes,y
4224,4465,double-hit move,No,Yes,y
4225,4466,x3 for multihit; x1.5 for crit; Yes this is a hack just like the others,Yes,Yes,y
4226,4467,this is checking if the move KO-ed,No,Yes,y
4227,4469,fix,No,Yes,y
4228,4470,Shape info needed to build Decoder Model,No,No,n
4229,4471,TODO: update this; should be bitmaps rather than OHE vectors,Yes,Yes,y
4230,4472,TODO: finish this!,Yes,Yes,y
4231,4473,todo:,Yes,No,y
4232,4474,figure out why inet-sl_subj13_50 accuracy plot looks weird,Yes,Yes,y
4233,4475,rename training cost to test accuracy (somehow that got mislabelled),No,Yes,y
4234,4476,between each color vector. This is better than random,No,Yes,y
4235,4477,# TODO: implement pathlib.Path,Yes,Yes,y
4236,4478,"\""\""\"" || This module provides functionality for converting liveplot metrics to xarray objects; || and for building a dataset from multiple iterations of an experiment. || \""\""\""",No,Yes,y
4237,4479,maybe improved later,Yes,No,y
4238,4480,unparseable. Maybe git-describe is misbehaving?,No,Yes,y
4239,4481,maybe improved later,Yes,No,y
4240,4482,unparseable. Maybe git-describe is misbehaving?,No,Yes,y
4241,4483,TODO: Proper input validation,Yes,No,y
4242,4484,remove unused axes from plot grid,Yes,Yes,y
4243,4485,XXX: sparse uses intc instead of intp...,Yes,Yes,y
4244,4486,XXX: one could be smarter here,Yes,Yes,y
4245,4487,This is a bit ugly; but it avoids running this again.,Yes,Yes,y
4246,4488,Promote vec to 1D array if needed,No,No,n
4247,4489,Check is sphere is a Sphere object and convert it if needed,No,No,n
4248,4490,Don't forget to take the square root when needed.,No,Yes,y
4249,4491,If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,y
4250,4492,Double bvecs to find neighbors with assumed symmetry if needed,No,Yes,y
4251,4493,I guess the intel guys know what is best anyway,No,No,n
4252,4494,Double bvecs to find neighbors with assumed symmetry if needed,No,Yes,y
4253,4495,is not always the case when we hack around with the scanner.,Yes,Yes,y
4254,4496,fix for visual studio >=2015,No,Yes,y
4255,4497,TODO: Add different parse modes (context as 1 response or whole previous dialog),Yes,Yes,y
4256,4498,TODO: Make f_neg in the loop,Yes,No,y
4257,4500,TODO: It is not completely equal with paper,Yes,Yes,y
4258,4501,TODO: Add LR decay,Yes,No,y
4259,4502,TODO: Refine dev loss calculation,Yes,Yes,y
4260,4503,TODO: Implement summaries,Yes,Yes,y
4261,4504,workaround for duplicated logs in ipython,Yes,Yes,y
4262,4505,workaround for duplicated logs in ipython,Yes,Yes,y
4263,4506,"\""\""\"" Utility functions for processing point clouds. ||  || Author: Charles R. Qi; Hao Su || Date: November 2016 || \""\""\""",No,No,n
4264,4507,"\""\""\""Hacky way to progressively load scales\""\""\""",Yes,Yes,y
4265,4508,"\""\""\"" Utility functions for processing point clouds. ||  || Author: Charles R. Qi; Hao Su || Date: November 2016 || \""\""\""",No,No,n
4266,4509,if zero padding is needed for missing context,No,No,n
4267,4510,we start off with an efficient embedding layer which maps,No,Yes,y
4268,4511,TODO: the input and weight will be calculate by synapse,Yes,No,y
4269,4512,TODO: the neuron or synapse need the method to transmit or receive the spiking,Yes,Yes,y
4270,4513,TODO: the group may be set as loops,Yes,No,y
4271,4514,TODO: the group may be set as loops,Yes,No,y
4272,4515,"\""\ || \"" needed to be added at the end of the file",No,Yes,y
4273,4516,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4274,4517,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4275,4518,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4276,4519,kid better than parent,No,Yes,y
4277,4520,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4278,4521,"\""\ || \"" needed to be added at the end of the file",No,Yes,y
4279,4522,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4280,4523,''' || Created on 15.12.2014 ||  || @author: Peter U. Diehl || ''',No,Yes,y
4281,4524,''' || Created on 15.12.2014 ||  || @author: Peter U. Diehl || ''',No,Yes,y
4282,4525,''' || Created on 15.12.2014 ||  || @author: Peter U. Diehl || ''',No,Yes,y
4283,4526,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4284,4527,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4285,4528,"\""\ || \"" needed to be added at the end of the file",Yes,Yes,y
4286,4529,"\""\ || \"" needed to be added at the end of the file",No,Yes,y
4287,4531,def rv2bs(self; gen; FieldD): TODO,Yes,Yes,y
4288,4532,TODO,Yes,Yes,n
4289,4533,TODO,Yes,Yes,n
4290,4534,impurity gain is difference in loss before vs. after split,No,No,n
4291,4536,creating list contains columns names of an acc file,No,Yes,y
4292,4537,creating list contains gyro files columns names,No,Yes,y
4293,4538,"creating a list contains columns names of \""labels.txt\"" in order",No,Yes,y
4294,4539,create new dataframe to order columns,No,Yes,y
4295,4540,FUNCTION: import_raw_labels_file(path;columns),No,No,n
4296,4541,#      3- convert integer data to a dataframe & insert columns names  #,No,Yes,y
4297,4542,columns: A list of strings contains the columns names in order.                  #,No,Yes,y
4298,4543,FUNCTION: import_raw_signals(path;columns),No,No,n
4299,4544,columns: A list of strings contains the column names in order.                   #,No,Yes,y
4300,4545,convert the list of lists into 2D numpy array(computationally efficient),No,Yes,y
4301,4546,wtf visdom logic,Yes,Yes,y
4302,4547,the performance of the model has been improved :),No,Yes,y
4303,4548,todo: draw inputs and targets dynamically,Yes,Yes,y
4304,4549,emotion = columns[0],No,Yes,y
4305,4550,todo: -1 to these idxs to be correct,Yes,No,y
4306,4551,split words following CamelCase convention,No,No,y
4307,4552,# fix bad unicode,Yes,Yes,y
4308,4553,# fix html leftovers,Yes,Yes,y
4309,4554,better add an extra space after the match.,No,Yes,y
4310,4555,todo: add spell check before!,Yes,Yes,y
4311,4556,todo: move to values,Yes,Yes,y
4312,4557,todo: don't wrap all terms,Yes,Yes,y
4313,4558,terms like 'eco-friendly'; 'go_to'; 'john's' - maybe remove the ' or add a parameter for it,No,Yes,y
4314,4559,todo: clear this mess,Yes,Yes,y
4315,4560,DATES\/TIMES     todo: add days,Yes,No,y
4316,4561,todo: fix - urls also capture trailing puncts; such as .,Yes,Yes,y
4317,4562,status[XXX] == True means that the context XXX is negated,No,Yes,y
4318,4563,status[XXX] == False means that the context XXX is affirmative,No,Yes,y
4319,4564,todo: -1 to these idxs to be correct,Yes,No,y
4320,4565,TODO: make function working,Yes,Yes,y
4321,4566,TODO: make random initialization,Yes,Yes,y
4322,4567,TODO: make random initialization,Yes,Yes,y
4323,4569,TODO Might be able to batch this,Yes,Yes,y
4324,4570,Columns,No,No,n
4325,4571,Every non-occupied square is a move.,No,Yes,y
4326,4572,Swap player to move.,No,Yes,y
4327,4573,Apply move.,No,Yes,y
4328,4574,track of the best score and move to play.,No,No,y
4329,4575,v is score of position after the move.,No,Yes,y
4330,4576,New best move?,No,Yes,y
4331,4577,This is not needed; but lets you view a lot of useful information using,No,Yes,y
4332,4578,This is not needed; but lets you view a lot of useful information using,No,Yes,y
4333,4579,extract information needed to calculate node degrees,No,Yes,y
4334,4580,Pad features if needed,No,No,y
4335,4581,TODO: Should the aggregation method also be overridable,Yes,No,y
4336,4582,TODO: This is much easier to just do in the actual call; this will be cropped there,Yes,Yes,y
4337,4583,TODO: clip pointers inside SparseTensor since clip_by_value only accepts Tensors,Yes,No,y
4338,4584,"TODO: I dont find this \""peek at the file\"" solution very elegant.",Yes,No,y
4339,4585,TODO: switch caching from here to Dataset API,Yes,Yes,y
4340,4586,TODO: Truncation,Yes,Yes,y
4341,4587,TODO: this assumes that the loss across validation can be,Yes,Yes,y
4342,4588,TODO: Fix derived seed (bug in tensorflow),Yes,No,y
4343,4590,TODO: implement some bijective pairing function; like cantor's,Yes,Yes,y
4344,4591,TODO: Fix padding in the middle of the sparse matrix,Yes,No,y
4345,4592,TODO: better checks for filetype,Yes,No,y
4346,4593,TODO: there must be a better way to do this; but couldn't find in expand_dims docs,Yes,Yes,y
4347,4594,TODO: this might prove too slow,Yes,No,y
4348,4595,todo does numpy ensure correct broadcasting when len(dataset) == C?,Yes,Yes,y
4349,4596,list() needed because incremental training modifies the list passed as argument,Yes,Yes,y
4350,4597,Todo this is responsible for the increase in computation time while,Yes,Yes,y
4351,4598,TODO OPTIMIZE IT!,Yes,Yes,y
4352,4599,TODO Implement this holdout technique adding pooling and automatic construction,Yes,No,y
4353,4600,These are needed by the M-step update equations at the end of an epoch,No,Yes,y
4354,4601,Todo this is responsible for the increase in computation time while,Yes,Yes,y
4355,4602,TODO OPTIMIZE IT!,Yes,Yes,y
4356,4603,TODO to limit memory usage you should consider reading from disk the statistics relative to the minibatch only,Yes,Yes,y
4357,4604,These are needed by the M-step update equations at the end of an epoch,No,Yes,y
4358,4605,TODO i should pass both the dataset and the statistics as a single element of the dataset --> MAYBE,Yes,Yes,y
4359,4606,TODO move this function OUT!,Yes,Yes,y
4360,4607,Todo this is responsible for the increase in computation time while,Yes,Yes,y
4361,4608,TODO what changes now is the way we build the statistics! we can put them in a batch dataset; computing them when they are needed,Yes,Yes,y
4362,4609,TODO   In the old implementation the likelihood asssociated to the transition part decreases much more quickly;,Yes,Yes,y
4363,4610,TODO,Yes,Yes,n
4364,4611,TODO NOW CHOOSE WHAT TO RETURN!,Yes,No,y
4365,4612,TODO LOAD THE ARCHITECTURE!,Yes,Yes,y
4366,4613,TODO problema con la batch dimension. credo di averlo gia' risolto questo,Yes,Yes,n
4367,4614,TODO problema con la batch dimension. credo di averlo gia' risolto questo,Yes,Yes,n
4368,4615,TODO it should not be memory intensive. Save portions of them as you go,Yes,Yes,y
4369,4616,These are needed by the M-step update equations at the end of an epoch,No,Yes,y
4370,4618,TODO SAVE THE ARCHITECTURE,Yes,Yes,y
4371,4620,it has probability 0.51 (in the case of C=2); while I would like to consider the entire distribution,No,Yes,y
4372,4621,TODO GENERALIZE,Yes,Yes,y
4373,4622,Needed to avoid thread spawning,Yes,Yes,y
4374,4623,Needed to avoid thread spawning,Yes,Yes,y
4375,4624,Needed to avoid thread spawning,No,Yes,y
4376,4625,Needed to avoid thread spawning,Yes,Yes,y
4377,4626,Needed to avoid thread spawning,No,Yes,y
4378,4627,Move winning statistics to the winner folder,No,Yes,y
4379,4628,TODO collect information about likelihood per layer; compare fingerprints by plotting their distributions,Yes,Yes,y
4380,4629,Move winning statistics to the winner folder,No,Yes,y
4381,4630,Move winning statistics to the winner folder,No,Yes,y
4382,4631,Move winning statistics to the winner folder,No,Yes,y
4383,4632,todo it is not so elegant..,Yes,Yes,y
4384,4633,These are needed by the M-step update equations at the end of an epoch,No,Yes,y
4385,4634,it has probability 0.51 (in the case of C=2); while I would like to consider the entire distribution,No,Yes,y
4386,4636,not very efficient; but it works,Yes,Yes,y
4387,4637,Ideally choose a random vector,No,Yes,y
4388,4638,TODO COME FARLO SU PPI SE GIA' HO I DATA? (MINOR),Yes,Yes,y
4389,4639,data = self._to_data(G) # TODO questo c'e' gi\u00E0!!,Yes,Yes,y
4390,4640,TODO CONVERT PyG Data object to our Data object,Yes,Yes,y
4391,4641,Shift by one to the left. Apparently this is necessary for multiclass tasks.,No,Yes,y
4392,4642,Needed to avoid thread spawning; conflicts with multi-processing. You may set a number > 1 but take into account,Yes,Yes,y
4393,4643,TODO refactor this,Yes,Yes,y
4394,4645,todo may avoid one hot with this,Yes,Yes,y
4395,4646,todo inefficient,Yes,Yes,y
4396,4647,These are needed by the M-step update equations at the end of an epoch,No,Yes,y
4397,4648,it has probability 0.51 (in the case of C=2); while I would like to consider the entire distribution,No,Yes,y
4398,4650,Needed to reset variables; DO NOT remove it,Yes,No,y
4399,4651,todo check against commented code,Yes,Yes,y
4400,4652,The convention in BERT is:,No,No,n
4401,4653,'feature_columns': my_feature_columns;,No,No,n
