Comment,MLTD
TODO move the model load and the converter creation in a method called on init; but after the arg parsing,Yes
TODO Remove this hacky fix when we move them to the same models,Yes
TODO Currently any models which have a list input will not contain the main model,Yes
train the model:  TODO - fix the ugly if statements and put this in the arguments of the script,Yes
TODO - check prev argument for the model,Yes
"\""\""\""Deploy Slim models across multiple clones and replicas. ||  || # TODO(sguada) docstring paragraph by (a) motivating the need for the file and || # (b) defining clones. ||  || # TODO(sguada) describe the high-level components of model deployment. || # E.g. \""each model deployment is composed of several parts: a DeploymentConfig; || # which captures A; B and C; an input_fn which loads data.. etc ||  || To easily train a model on multiple GPUs or across multiple machines this || module provides a set of helper functions: `create_clones`; || `optimize_clones` and `deploy`. ||  || Usage: ||  ||     g = tf.Graph() ||  ||     # Set up DeploymentConfig ||     config = model_deploy.DeploymentConfig(num_clones=2; clone_on_cpu=True) ||  ||     # Create the global step on the device storing the variables. ||     with tf.device(config.variables_device()): ||         global_step = slim.create_global_step() ||  ||     # Define the inputs ||     with tf.device(config.inputs_device()): ||         images; labels = LoadData(...) ||         inputs_queue = slim.data.prefetch_queue((images; labels)) ||  ||     # Define the optimizer. ||     with tf.device(config.optimizer_device()): ||         optimizer = tf.train.MomentumOptimizer(FLAGS.learning_rate; FLAGS.momentum) ||  ||     # Define the model including the loss. ||     def model_fn(inputs_queue): ||         images; labels = inputs_queue.dequeue() ||         predictions = CreateNetwork(images) ||         slim.losses.log_loss(predictions; labels) ||  ||     model_dp = model_deploy.deploy(config; model_fn; [inputs_queue]; ||                                    optimizer=optimizer) ||  ||     # Run training. ||     slim.learning.train(model_dp.train_op; my_log_dir; ||                                             summary_op=model_dp.summary_op) ||  || The Clone namedtuple holds together the values associated with each call to || model_fn: ||     * outputs: The return values of the calls to `model_fn()`. ||     * scope: The scope used to create the clone. ||     * device: The device used to create the clone. ||  || DeployedModel namedtuple; holds together the values needed to train multiple || clones: ||     * train_op: An operation that run the optimizer training op and include ||         all the update ops created by `model_fn`. Present only if an optimizer ||         was specified. ||     * summary_op: An operation that run the summaries created by `model_fn` ||         and process_gradients. ||     * total_loss: A `Tensor` that contains the sum of all losses created by ||         `model_fn` plus the regularization losses. ||     * clones: List of `Clone` tuples returned by `create_clones()`. ||  || DeploymentConfig parameters: ||     * num_clones: Number of model clones to deploy in each replica. ||     * clone_on_cpu: True if clones should be placed on CPU. ||     * replica_id: Integer.  Index of the replica for which the model is ||             deployed.  Usually 0 for the chief replica. ||     * num_replicas: Number of replicas to use. ||     * num_ps_tasks: Number of tasks for the `ps` job. 0 to not use replicas. ||     * worker_job_name: A name for the worker job. ||     * ps_job_name: A name for the parameter server job. ||  || TODO(sguada): ||     - describe side effect to the graph. ||     - what happens to summaries and update_ops. ||     - which graph collections are altered. ||     - write a tutorial on how to use this. ||     - analyze the possibility of calling deploy more than once. ||  ||  || \""\""\""",Yes
"fwd_params = [v for v in tf.all_variables() if v.name.startswith(self.model_scope + \""\/\"" + var_scope)]  # TODO",Yes
"params = [v for v in tf.all_variables() if v.name.startswith(self.model_scope + \""\/\"" + var_scope)]  # TODO",Yes
TODO Move to model.py,Yes
TODO: check whether the model is QuartzNet,Yes
TODO: Make sure this doesn't load a previous trained model!,Yes
TODO: Replace with ps.ls.model?,Yes
TODO: dont use _model as model,Yes
TODO: do not use _model as model,Yes
TODO : revise ModelData docstring :: Attributes,Yes
TODO : revise ModelData docstring :: Examples,Yes
TODO: integrate into VoxelModelCache,Yes
TODO Check model dtype,Yes
TODO: fix model path later!,Yes
TODO: Chunk and NER model + NER config,Yes
TODO: Train new model!,Yes
TODO: replace this with segmentation_models' FPN,Yes
TODO: enable users to run model with older incompatible Pfam DB versions?,Yes
TODO: use the splits and average the results?? instead of picking best model...,Yes
TODO: Load saved model.,Yes
TODO: Model Precision,No
TODO FIX AND ADD MODEL NAME TO SUPERVISED!,Yes
# TODO elif 'Priors' in model_folder: #                print 'Processi           print 'Processing Robotics priors model: '; path_to_neighbors,Yes
ONLY FOR FAST TESTING !!:   model_name = MOBILE_ROBOT#STATIC_BUTTON_SIMPLEST#'pushingButton3DAugmented' #TODO REMOVE-testing  model_name = MOBILE_ROBOT,No
TODO create folder for experiment and models,Yes
A future enhancement TODO for running on multiple GPU: CUDA_VISIBLE_DEVICES=2;3 python main.py   and then also model = torch.nn.DataParallel(model; device_ids=[0;1]).cuda(),Yes
TODO: load best model before predicting states,Yes
"TODO: use load_metadata in utils.modelIO + don't just use \""specs.json\""",Yes
"model_name=\""all_comb_model_%d\"" % config.impact_k; # TODO update name",Yes
TODO have a Model.logger to prefix all logs with model name,Yes
FIXME: it should be more general (MAIN model compt.),Yes
TODO: Model here,No
"\""\""\""   || #TODO: || class HopfieldModel(LatentModel): ||      ||     def __init__(self; nvis; nhid): ||         self.layers = {} ||         self.layers['visible'] = layers.IsingLayer(nvis) ||         self.layers['hidden'] = layers.GaussianLayer(nhid) ||          ||         self.params = {} ||         self.params['weights'] = numpy.random.normal(loc=0.0; scale=1.0; size=(self.layers['visible'].len; self.layers['hidden'].len)).astype(dtype=numpy.float32) ||         self.params['bias'] = numpy.ones_like(self.layers['visible'].loc)   ||  ||  || class HookeMachine(LatentModel): ||      ||     def __init__(self; nvis; nhid; vis_type='gauss'; hid_type='expo'):    ||         assert vis_type.lower() in ['gauss'; 'ising'] ||         assert hid_type.lower() in ['expo'; 'bern'] ||          ||         self.layers = {} ||         self.layers['visible'] = layers.get(vis_type)(nvis) ||         self.layers['hidden'] = layers.get(hid_type)(nhid) ||          ||         self.params = {} ||         self.params['weights'] = numpy.random.normal(loc=0.0; scale=1.0; size=(self.layers['visible'].len; self.layers['hidden'].len)).astype(dtype=numpy.float32) ||         self.params['bias'] = numpy.ones_like(self.layers['hidden'].loc)   ||         self.params['T'] = numpy.ones(1; dtype=numpy.float32) ||                  ||         self.deriv = {} ||         self.deriv['weights'] = numpy.zeros_like(self.params['weights']) ||         self.deriv['bias'] = numpy.zeros_like(self.params['bias']) ||         self.params['T'] = numpy.zeros_like(self.params['T']) ||          ||         self.set_vis(numpy.zeros_like(self.layers['visible'].loc)) ||          ||     def set_vis(self; vis): ||         self.vis = vis ||         self.diff = (self.params['weights'].T - vis).T ||         self.squared_dist = numpy.sum(self.diff ** 2; axis=0) ||         self.layers['hidden'].update_params(self.params['bias'] + self.squared_dist \/ (2 * self.params['T'])) ||         self.energy = -numpy.sum(numpy.log(self.layers['hidden'].partition_function()))         ||          ||     def visible_conditional_params(self; hid): ||         total = numpy.sum(hid) ||         loc = numpy.dot(self.params['weights']; hid) \/ total ||         scale = self.params['T'] \/ total * numpy.ones_like(self.layers['visible'].loc) ||         return (loc; scale) ||          ||     def update_visible_params(self; hid): ||         self.layers['visible'].update_params(*self.visible_conditional_params(hid)) ||          ||     def derivatives(self; vis; key): ||         self.update_hidden_params(vis) ||         hidden_mean = self.layers['hidden'].mean() ||         if key == 'bias': ||             # del H(v; k) \/ del b ||             return hidden_mean ||         elif key == 'weights': ||             # del H(v; k) \/ del W ||             return (self.difference(vis) * hidden_mean.T) \/ self.params['T'] ||         elif key == 'T': ||             # del H(v;k) \/ del T ||             return numpy.dot(hidden_mean.T; self.squared_distance(vis)) ||         else: ||             raise ValueError('unknown key: {}'.format(key)) ||     \""\""\""",Yes
TODO: move resampling into the model class so that it can be alternated with gibbs,Yes
TODO: should import the State class from model.py,Yes
TODO; start with 10 random models; evaluate them,Yes
TODO print p values for binomial model,Yes
TODO: Write a bit about the models used in this text field,No
TODO optimize LR https:\/\/github.com\/flairNLP\/flair\/blob\/master\/resources\/docs\/TUTORIAL_8_MODEL_OPTIMIZATION.md,Yes
TODO Figure out how nested model config options will work,No
TODO load model graph into model class called by click,No
TODO: for all models types; train a single model on the whole dataset,Yes
TODO: it's worth to switch back to the correct preprocess_input when InceptionResNetV2 model is re-trained,Yes
TODO: model.add? or x= ...,No
"\""\""\"" || Adapt acoustic models using maximum-likelihood linear regression. ||  || This module implements single-class mean and variance adaptation using || MLLR as described in M.J.F. Gales & P.C. Woodland; \\\""Mean and Variance || Adaptation within the MLLR Framework\\\""; Computer Speech and Language; || vol. 10; pp 249-264. ||  || TODO: Multiple regression classes. || \""\""\""",Yes
"\""\""\""Probability models for species substitution. ||  || Implements base class :class:`SubstitutionModel`; || which can be extended to allow for development of new || lambda tables. An example of such an extension; || :class:`RadiusModel`; is also implemented. ||  || Todo: ||     * Allow for parallelism in lambda table calculations ||       by implementing a `sub_probs` abstractmethod ||       that :meth:`SubstitutionModel.gen_lambda` uses; ||       if available. ||  || \""\""\""",Yes
# TODO Change to call remote model,Yes
TODO: auto-modeling by custom config (get_model(**config)); defaults to {},Yes
TODO: model tunning; pass layers and other config to get custom models,Yes
TODO: introduce exception in case of model failure to predict,Yes
TODO: This report should be constructed based on sales order line model; not supplier mode.,No
TODO clarify difference between local path and url to download model,Yes
todo: should save tpot model here,Yes
todo: the top models (including one model type with mutliple,Yes
todo: combinations of model params).,No
todo: combinations of model params).,Yes
TODO extract MLE and std of model here.,Yes
"\""\""\""Deploy Slim models across multiple clones and replicas. ||  || To easily train a model on multiple GPUs or across multiple machines this || module provides a set of helper functions: `create_clones`; || `optimize_clones` and `deploy`. ||  || Usage: ||  ||   g = tf.Graph() ||  ||   # Set up DeploymentConfig ||   config = model_deploy.DeploymentConfig(num_clones=2; clone_on_cpu=True) ||  ||   # Create the global step on the device storing the variables. ||   with tf.device(config.variables_device()): ||     global_step = slim.create_global_step() ||  ||   # Define the inputs ||   with tf.device(config.inputs_device()): ||     images; labels = LoadData(...) ||     inputs_queue = slim.data.prefetch_queue((images; labels)) ||  ||   # Define the optimizer. ||   with tf.device(config.optimizer_device()): ||     optimizer = tf.train.MomentumOptimizer(FLAGS.learning_rate; FLAGS.momentum) ||  ||   # Define the model including the loss. ||   def model_fn(inputs_queue): ||     images; labels = inputs_queue.dequeue() ||     predictions = CreateNetwork(images) ||     slim.losses.log_loss(predictions; labels) ||  ||   model_dp = model_deploy.deploy(config; model_fn; [inputs_queue]; ||                                  optimizer=optimizer) ||  ||   # Run training. ||   slim.learning.train(model_dp.train_op; my_log_dir; ||                       summary_op=model_dp.summary_op) ||  || The Clone namedtuple holds together the values associated with each call to || model_fn: ||   * outputs: The return values of the calls to `model_fn()`. ||   * scope: The scope used to create the clone. ||   * device: The device used to create the clone. ||  || DeployedModel namedtuple; holds together the values needed to train multiple || clones: ||   * train_op: An operation that run the optimizer training op and include ||     all the update ops created by `model_fn`. Present only if an optimizer ||     was specified. ||   * summary_op: An operation that run the summaries created by `model_fn` ||     and process_gradients. ||   * total_loss: A `Tensor` that contains the sum of all losses created by ||     `model_fn` plus the regularization losses. ||   * clones: List of `Clone` tuples returned by `create_clones()`. ||  || DeploymentConfig parameters: ||   * num_clones: Number of model clones to deploy in each replica. ||   * clone_on_cpu: True if clones should be placed on CPU. ||   * replica_id: Integer.  Index of the replica for which the model is ||       deployed.  Usually 0 for the chief replica. ||   * num_replicas: Number of replicas to use. ||   * num_ps_tasks: Number of tasks for the `ps` job. 0 to not use replicas. ||   * worker_job_name: A name for the worker job. ||   * ps_job_name: A name for the parameter server job. ||  || TODO(sguada): ||   - describe side effect to the graph. ||   - what happens to summaries and update_ops. ||   - which graph collections are altered. ||   - write a tutorial on how to use this. ||   - analyze the possibility of calling deploy more than once. ||  ||  || \""\""\""",Yes
TODO: model_ids,No
TODO: error if object not in invariant_inputs or model.probes,No
TODO: document important attributes (e.g. keras_model),No
TODO Add argument to skip modelling.,Yes
TODO Move auxiliary model functions to `models\/auxiliary.py`,Yes
Todo: support for sklearn linear models,No
TODO: Here; we should be able to add these 2 new lists to DataDict so that they can be used in model.plot().,No
"\""\""\"" || trainer.py: Contains the code implementation of the main worker of mi-prometheus. || This worker in particular is called the `episodic trainer` and will take care of training || a specified model on a specified problem for a given number of episodes (among other adjustable || parameters). ||  || #TODO: Enhance this description and documentation. ||  || \""\""\""",No
nir_model = copy.deepcopy(model) # TODO: change to load only the part that we want,Yes
TODO: add following info: associated featuresets; models,No
Initialize model (TODO: do i really need this?),No
Initialize model (TODO: really necessary?),No
TODO Marcin: Load model from path,Yes
TODO (johngiorgi): make model checkpointing a config param,Yes
TODO (johngiorgi): consider introduction a new function; create_model(),Yes
TODO (johngiorgi): need to clear the models after each fold,Yes
TODO (johngiorgi): I need to name the models based on their dataset folder,Yes
TODO (johngiorgi): https:\/\/machinelearningmastery.com\/dropout-regularization-deep-learning-models-keras\/,No
TODO (johngiorgi) add verbosity parameter for printing model summary,Yes
TODO (johngiorgi): fix some of the test_model_attributes_after_creation_of_model tests,Yes
TODO (johngiorgi): Read about spacys models; choose the most,No
TODO: change to the following statement with new models,Yes
TODO (johngiorgi): add a dummy model fixture,Yes
TODO: compute betas for linear SKLL models?,Yes
TODO: fix actor model,Yes
TODO(ahundt) consider making image_model_weights shared vs separate configurable,Yes
Quite good kfold; best hyperparams from 2018-04 2000 model hyperopt run TODO(ahundt) add details from kfold run,No
TODO(ahundt) it seems set_trainable_layers in grasp_model.py has a bug?,Yes
lead to NaNs in some models (resnet50).  TODO(tucker): fix it.,Yes
TODO(rishabhagarwal): Hack for loading a model trained on cloud machine.,Yes
TODO(yovadia): Figure out why save_model() wants to serialize ModelOptions.,Yes
"r\""\""\""Reader for the format provided by SIGTYP 2020 Shared Task. ||  || More information on the format is available here: ||   https:\/\/sigtyp.github.io\/st2020.html ||  || Example: || -------- ||  Clone the GitHub data to ST2020_DIR. Then run: ||  ||  > ST2020_DIR=... ||  > python3 sigtyp_reader_main.py --sigtyp_dir ${ST2020_DIR}\/data \\ ||     --output_dir ${OUTPUT_DIR} ||  ||  The above will create \""train.csv\""; \""dev.csv\"" and \""test_blinded.csv\"" files ||  converted from the format provided by SIGTYP. Our models should be able to ||  injest these csv files. Along each of the above files; an accompanying ||  \""data_train_*.json.gz\"" file is generated that contains metainformation on ||  various features and their values. ||  || TODO: || ----- || Following needs to be done: ||   - Latitude and longitude need to be on a point on a unit sphere? Keep as is ||     and add three further columns for (x;y;z)? ||   - Country codes are *several*. ||   - Other types of SOMs. ||   - Use BaseMap for visualizations? || \""\""\""",No
TODO(ddjohnson) Move common layers out of `edge_supervision_models`.,Yes
FIXME: anything to check or copy from other model_opt?,Yes
"\""\""\""Export \/ Import of generic python models. ||  || This module defines generic filesystem format for python models and provides utilities || for saving and loading to and from this format. The format is self contained in a sense || that it includes all necessary information for anyone to load it and use it. Dependencies || are either stored directly with the model or referenced via a conda environment. ||  || The convention for pyfunc models is to have a predict method or function with the following || signature ||  || predict(data: pandas.DataFrame) -> pandas.DataFrame ||  || This convention is relied upon by other mlflow components. ||  || Pyfunc model format is defined as a directory structure containing all required data; code and || configuration: ||  || .\/dst-path\/ ||     .\/MLmodel - config ||     <code> - any code packaged with the model (specified in the conf file; see below) ||     <data> - any data packaged with the model (specified in the conf file; see below) ||     <env>  - conda environment definition (specified in the conf file; see below) ||  || It must contain MLmodel file in its root with \""python_function\"" format with the following || parameters: ||  ||    - loader_module [required]: ||          Python module that can load the model. Expected as module identifier ||           e.g. ``mlflow.sklearn``; it will be imported via importlib.import_module. ||          The imported module must contain function with the following signature: ||  ||               load_pyfunc(path: string) -> <pyfunc model> ||  ||          The path argument is specified by the data parameter and may refer to a file or directory. ||  ||    - code [optional]: ||         relative path to a directory containing the code packaged with this model. ||         All files and directories inside this directory are added to the python path ||         prior to importing the model loader. ||  ||    - data [optional]: ||          relative path to a file or directory containing model data. ||          the path is passed to the model loader. ||  ||    - env [optional]: ||          relative path to an exported conda environment. If present this environment ||          should be activated prior to running the model. ||  || Example: ||  || ``` || >tree example\/sklearn_iris\/mlruns\/run1\/outputs\/linear-lr || \u251C\u2500\u2500 MLmodel || \u251C\u2500\u2500 code || \u2502\u00A0\u00A0 \u251C\u2500\u2500 sklearn_iris.py || \u2502\u00A0\u00A0 || \u251C\u2500\u2500 data || \u2502\u00A0\u00A0 \u2514\u2500\u2500 model.pkl || \u2514\u2500\u2500 mlflow_env.yml ||  || >cat example\/sklearn_iris\/mlruns\/run1\/outputs\/linear-lr\/MLmodel || python_function: ||   code: code ||   data: data\/model.pkl ||   env: mlflow_env.yml ||   main: sklearn_iris ||  || ``` || Todo: || * Get default conda_env of the project. || \""\""\""",No
"\""\""\"" || This module imports contents from CloudPickle in a way that is compatible with the || ``pickle_module`` parameter of PyTorch's model persistence function: ``torch.save`` || (see https:\/\/github.com\/pytorch\/pytorch\/blob\/692898fe379c9092f5e380797c32305145cd06e1\/torch\/ || serialization.py#L192). It is included as a distinct module from :mod:`mlflow.pytorch` to avoid || polluting the namespace with wildcard imports. ||  || Calling ``torch.save(...; pickle_module=mlflow.pytorch.pickle_module)`` will persist PyTorch model || definitions using CloudPickle; leveraging improved pickling functionality such as the ability || to capture class definitions in the \""__main__\"" scope. ||  || TODO: Remove this module or make it an alias of CloudPickle when CloudPickle and PyTorch have || compatible pickling APIs. || \""\""\""",Yes
TODO: Tech debt. Refactor search code into common utils; tracking server; and model,Yes
TODO: move this to a specific mlflow.statsmodels.tsa flavor? Time series models,Yes
todo: tf2 change ludwig.Model not be subclass of tensorflow.keras Model class?,Yes
model.close_session()  # todo tf2 code clean -up,Yes
TODO tf2: currently no clear way to set model graph,Yes
todo refactoring: maybe replace the self.model_definition paramter,Yes
TODO: support loading other model types based on definition,Yes
TODO: Input shape should be determined by combination of model + scan.,Yes
TODO: build child models,Yes
TODO: Construct this from built child models,Yes
TODO: build the model,Yes
TODO: fit the model,Yes
"\""\""\""Abstract model classes. ||  || TODO: more info... ||  || \""\""\""",No
"\""\""\""Common already-made models. ||  || TODO: more info... ||  || \""\""\""",No
TODO: recursively build this model's args,Yes
TODO: DiscreteModel (for poisson etc)\uFFFF,No
TODO: but will have to SAMPLE from model and compute prob multiple times?,No
TODO: and should use mean model; not sampling,Yes
TODO: should return built_model; mean_model,Yes
TODO: i feel like BaseLayer should have everything BaseModel has;,No
TODO: so the values are the sampled values? so self.built_model.sample()?,Yes
TODO: need to account for the jacobian if input is a BaseModel,Yes
TODO: should inherit layer? model?,Yes
TODO: should inherit layer? model?  Layer; I think.,Yes
TODO: recurse down the model; setting param._session = sess for each parameter,Yes
TODO: ensure x data shape matches model._ph['x'] shape (only if fit),Yes
TODO: restore_best_weights? using save_model and load_model?,Yes
"\""\""\""Models. ||  || Models are objects which take Tensor(s) as input; perform some computation on  || those Tensor(s); and output probability distributions. ||  || TODO: more... ||  || * :func:`.Model` || * :func:`.ContinuousModel` || * :func:`.DiscreteModel` || * :func:`.CategoricalModel` || * :func:`.save_model` || * :func:`.load_model` ||  || ---------- ||  || \""\""\""",No
"\""\""\"" || Models are objects which take Tensor(s) as input; perform some computation || on those Tensor(s); and output probability distributions. ||  || TODO: more... ||  || * :class:`.Model` || * :class:`.ContinuousModel` || * :class:`.DiscreteModel` || * :class:`.CategoricalModel` ||  || ---------- ||  || \""\""\""",No
TODO: update with better model for testing (currently ~85% on testing; ~99% on training),Yes
@todo the loading of the model and prediction functions should be within a class that is initialized by starting a,Yes
TODO: init function for saved model,Yes
'' ||     ----- TODO ----- ||  || [ ] Match the perspective via camera height estimation (with camera || calibration) || [ ] WHY IS IT SO UGLY???! || [ ] Thread it! || [x] Random positioning of the gate || [x] Boundaries definition for the gate (relative to the mesh's size) || [x] Compute the center of the gate || [ ] Compute the presence of the gate in the image frame || [?] Compute the distance to the gate || [ ] Camera calibration (use the correct parameters) || [x] Project on transparent background || [x] Overlay with background image || [ ] Model the camera distortion || [ ] Apply the distortion to the OpenGL projection || [ ] Histogram equalization of both images (hue; saturation; luminence ?...) || [ ] Motion blur (shader ?) || [ ] Anti alisasing (shader ?) || [ ] Ship it! ||  || ''',No
by default; use_cache is false (for older pre-trained models TODO: remove in version 0.4),Yes
make compatible with serialized models (TODO: remove),Yes
TODO check if this is necessary is this method is called before prepare_for_model,Yes
TODO: think about moving this to model_eval mtry function,Yes
TODO save models and stats,Yes
# TODO loop over all the models?,Yes
TODO is it possible to get to this return if you are in develop_model_mode?,Yes
TODO This might change as deploy no longer trains a model,Yes
TODO should this timestamp a model name automatically? (for example 2017-04-26_01.33.55_random_forest.pkl),Yes
TODO keeping these column names as part of the saved model avoids all the hassle of dropping grain and other,Yes
TODO factor model here?,Yes
TODO refactor this to take an arbitrary number of models rather than just a linear and random forest,Yes
TODO This will not work without a linear and random forest model for now until the base function is refactored,Yes
TODO this is broken - it might look like tools.plot_roc(models=[random_forest; linear; knn]),Yes
TODO put TrainedSupervisedModel into advanced class and compare how it feels with the linear_regression(),Yes
TODO because these now all return TSMs it will be additionally slow by all the factor models.,Yes
TODO Could these be trained separately then after the best is found; train the factor model and add to TSM?,Yes
TODO should the factor model be either 1) optional or 2) separate?,Yes
TODO add approx to model,Yes
TODO: add notebooks for each models : PoissonReg; CoxPartial; Hawkes; that illustrates simulation and inference of the models; and compares solvers for each models,Yes
TODO: write callback for model save,Yes
TODO: set check_hash to True on final model,Yes
TODO: check it is implemented. The model cannot be loaded when they are present.,Yes
TODO change for model to deployment version,Yes
TODO This exists so that models can set up default values,Yes
TODO: seems like we should store args.model to restore it after this loading,No
TODO: what's model_name?,Yes
TODO: The logger is define a bit later (needs the model name) - change this to a log message ?,Yes
TODO: test this for tacotron models,Yes
TODO: fix optimizer init; model.cuda() needs to be called before,Yes
FIXME: can trim the model,Yes
TODO(rbharath): config and model_params overlap significantly. Maybe just,No
TODO(rbharath): This is a hack based on fact that multi-tasktype models,No
"FIXME: Signature of \""fit\"" incompatible with supertype \""Model\""",Yes
"FIXME: Return type \""None\"" of \""fit\"" incompatible with return type \""float\"" in supertype \""Model\""",Yes
TODO: This test is a little awkward. The Smiles2Vec model awkwardly depends on a dataset_file being available on disk. This needs to be cleaned up to match the standard model handling API.,Yes
TODO: change this to your bert model and tokenizer used in pytorch-transformer,Yes
TODO: Do a better job of guessing defaults from the model,Yes
TODO: ensure that the number of models is only 2,Yes
TODO: once we make ScoreVisualizer and ModelVisualizer pass through,No
TODO: parametrize with models when unittest dependency removed,Yes
TODO: parametrize with models when unittest dependency removed (new test case),Yes
TODO: is this how sklearn stores all centers in the model?,Yes
TODO: honestly this was done because it was only in the statsmodels,No
TODO. learn feature normalization and store it as a layer in the model,Yes
TODO. check that model specs are coherent,Yes
TODO. get rid of from_model_pt,Yes
TODO: add support for torch.hub models directly in docopt,Yes
TODO: in pyannote.audio.train.model,Yes
FIXME add support for pretrained model with different specs,Yes
"\""\""\"" || Simulate Artificial Data || ======================== ||  || From package Scanpy (https:\/\/github.com\/theislab\/scanpy). || Written in Python 3 (compatible with 2). || Copyright 2016-2017 F. Alexander Wolf (http:\/\/falexwolf.de). ||      || Simulate stochastic dynamic systems to model gene expression dynamics and || cause-effect data. ||  || TODO || ---- || Beta Version. The code will be reorganized soon. || \""\""\""",No
TODO: add conv models,No
@TODO: add model grads support and visualization,Yes
TODO - Add storage bucket name field in django models,Yes
"TODO should we use \""generator\"" or \""metamodel\"" in the name of",Yes
TODO: For now; the model are trained for a specific dataset (because of the maxLength which define the,Yes
TODO: Put a limit size (ex: 3GB for the modelDir),Yes
We need to restore the model length because of the textData associated and the vocabulary size (TODO: Compatibility mode between different maxLength),Yes
TODO(Mark) Make the language configurable and based on a model attribute.,Yes
TODO: Use modelforge to save the model,Yes
TODO: assert that only on first recursion lvl `parent_model` can be None,Yes
TODO: if possible; give a warning if model is already fitted (acceptable in case of custom experimentation;,Yes
TODO add test about initializing a model from a run given a parameter distribution - also,Yes
fixme str(model) might contain (...),No
TODO: if possible; give a warning if model is already fitted (acceptable,Yes
TODO: Make this robust against an adversarial model namer,Yes
TODO some sanity checks on config_dict (e.g. whether the model is actually a model; etc),Yes
todo: load & return model blob,Yes
TODO Implement project_out on PCAModel,Yes
TODO the model needs to be able to generate it's jacobian.,Yes
TODO Implement project_out on SimilarityModel,Yes
TODO: better document what a linear model does.,No
TODO: give a description of what it means to be a PCA model,No
TODO: give a description of what it means to be a Similarity Model,No
TODO: this bit of logic should to be transferred down to PCAModel,Yes
Register useful parameters and objects useful for model instantiation #TODO: do proper testing on this part,Yes
TODO Find a way to verify if the model natively supports sample_weight,Yes
TODO: replace rnnsearch with model_cls.name,Yes
TODO: switch back to nkjp when model config is updated,Yes
# TODO: add multi_model stuff!,Yes
TODO: make sure newer models are trained with mul=1,Yes
TODO: make sure newer models are trained with diff_ratio=0.5,Yes
TODO: old models do not have the init attribute; thus create it,Yes
FIXME: these old models don't have the online attribute set; so we,Yes
TODO: old models have underscores at some variable names; thus rename,Yes
TODO: old models have a 'hid_init' instead of an 'init' attribute,Yes
"TODO: this is another place can be simplified by \""model-before-preprocess\"" reorganization",Yes
Todo: add static version of model.predict_subset_classes; use here,Yes
TODO break out EncoderConfig to allow use without populating options for full translation model,Yes
TODO: At the moment LHUC is RNN specific. We should support other models as well.,Yes
TODO: make this configurable in the model; separately per target factor.,Yes
TODO(ohta): Remove this workaround when `number` field is added to `TrialModel`.,Yes
TODO: support using pretrained model.,Yes
TODO: How do we strip the arg checking from Model?,No
TODO: We should return also h_n e.g. for seq2seq models,Yes
TODO: Which settings should we expose via Model.visualize?,No
TODO: input \/ output types for model?,No
TODO: Generalize this to be able to use other model classes like Transformer,Yes
TODO: pass to dual model too,No
TODO (T36875783): instantiate a langauge model,Yes
TODO (T40938917): Allow loading of multiple rescoring models,Yes
TODO: (T41818693) Map translation model vs LM model differences,No
TODO: model ensemble,Yes
"\""\""\"" || The hyphenation\/syllabification algorithm is based on the typical syllable structure model of onset\/nucleus\/coda. || TODO: Add hypothesized IPA transcription || \""\""\""",Yes
TODO and add:  ['latin_text_perseus'; 'latin_treebank_perseus'; 'latin_text_latin_library'; 'phi5'; 'phi7'; 'latin_proper_names_cltk'; 'latin_models_cltk'; 'latin_pos_lemmata_cltk'; 'latin_treebank_index_thomisticus'; 'latin_lexica_perseus'; 'latin_training_set_sentence_cltk'; 'latin_word2vec_cltk'; 'latin_text_antique_digiliblt'; 'latin_text_corpus_grammaticorum_latinorum'; 'latin_text_poeti_ditalia'],Yes
TODO: This is a weak check for the models actually being downloaded and valid,Yes
TODO: Use ``models_dir`` var from below and make self. or global to module,Yes
TODO: Check all 4 types of model reading on cpu w\/ enough memory,Yes
TODO: Check; this probably loads model a second time,Yes
TODO: Decide whether to drop repos w\/o models,Yes
FIXME res.model.InterceptFlag,Yes
- spec.model_base: [optional] base string for C lookup function; FIXME: should not be necessary,Yes
TODO \u5F53\u524D\u7684\u5B9E\u73B0\u4F1A\u5BFC\u81F4\u4E4B\u540E\u7684processor\u9700\u8981\u77E5\u9053model\u8F93\u51FA\u7684output\u7684key\u662F\u4EC0\u4E48,No
TODO \u8FD9\u91CC\u53EF\u80FD\u4F1A\u9047\u5230\u95EE\u9898\uFF0C\u4E07\u4E00\u7528\u6237\u5728model\u5185\u90E8\u4FEE\u6539\u4E86prediction\u7684device\u5C31\u4F1A\u6709\u95EE\u9898,No
todo \u53C2\u8003fairseq\u7684FairseqModel\u7684\u5199\u6CD5,No
TODO make way that the model and the criterion are also passed as parameter with introspection thingy as the optimizer,No
TODO Load model expected size from the actual model,Yes
TODO best model is not saved if epoch = 1,Yes
TODO: make different functions for different models,Yes
TODO: make different functions for different VGG models,Yes
"\""\""\""Script to train highres3dnet model. ||  || The input CSV must have two columns: ||     1. filepaths of features ||     2. filepaths of corresponding labels ||  || TODO || ---- || - Make this script more general. Ideally; one could drop in their model and ||     loss function. || - Move some common methods (eg; i\/o) to dedicated modules. || - Dice coefficient for class 1 (brainmask) is sometimes NaN. || - Input of 1 * 128**3 is too large for 1080ti. This seems to be related to the ||     `input_fn` used. || - Remove pandas as a dependency. Make pure python reader that accepts CSV or ||     TSV as input. || \""\""\""",Yes
